DATE,IRLTLT01EZM156N
2000-01-01,5.6985
2000-02-01,5.6636
2000-03-01,5.4906
2000-04-01,5.4138
2000-05-01,5.5155
2000-06-01,5.3454
2000-07-01,5.4537
2000-08-01,5.3982
2000-09-01,5.4672
2000-10-01,5.4163
2000-11-01,5.3357
2000-12-01,5.068
2001-01-01,5.0082
2001-02-01,5.0211
2001-03-01,4.9381
2001-04-01,5.1014
2001-05-01,5.2625
2001-06-01,5.2083
2001-07-01,5.25
2001-08-01,5.0582
2001-09-01,5.0374
2001-10-01,4.8169
2001-11-01,4.6667
2001-12-01,4.9588
2002-01-01,5.0229
2002-02-01,5.0661
2002-03-01,5.3165
2002-04-01,5.2972
2002-05-01,5.3031
2002-06-01,5.1649
2002-07-01,5.0274
2002-08-01,4.7311
2002-09-01,4.5233
2002-10-01,4.6235
2002-11-01,4.5924
2002-12-01,4.4065
2003-01-01,4.2703
2003-02-01,4.0608
2003-03-01,4.1272
2003-04-01,4.2289
2003-05-01,3.9187
2003-06-01,3.7233
2003-07-01,4.0626
2003-08-01,4.2047
2003-09-01,4.2319
2003-10-01,4.3081
2003-11-01,4.4378
2003-12-01,4.356
2004-01-01,4.2567
2004-02-01,4.1833
2004-03-01,4.0194
2004-04-01,4.2424
2004-05-01,4.3862
2004-06-01,4.4426
2004-07-01,4.3396
2004-08-01,4.1679
2004-09-01,4.114
2004-10-01,3.9794
2004-11-01,3.8687
2004-12-01,3.6893
2005-01-01,3.6336
2005-02-01,3.6153
2005-03-01,3.7625
2005-04-01,3.5709
2005-05-01,3.4074
2005-06-01,3.2541
2005-07-01,3.316
2005-08-01,3.3155
2005-09-01,3.1555
2005-10-01,3.3234
2005-11-01,3.5273
2005-12-01,3.409
2006-01-01,3.3927
2006-02-01,3.551
2006-03-01,3.7312
2006-04-01,4.0116
2006-05-01,4.0603
2006-06-01,4.0751
2006-07-01,4.0963
2006-08-01,3.9682
2006-09-01,3.8398
2006-10-01,3.8813
2006-11-01,3.8041
2006-12-01,3.9026
2007-01-01,4.1028
2007-02-01,4.1175
2007-03-01,4.0227
2007-04-01,4.2459
2007-05-01,4.3731
2007-06-01,4.6608
2007-07-01,4.6284
2007-08-01,4.4263
2007-09-01,4.3694
2007-10-01,4.4002
2007-11-01,4.2515
2007-12-01,4.3818
2008-01-01,4.2317
2008-02-01,4.1394
2008-03-01,4.0705
2008-04-01,4.2827
2008-05-01,4.4233
2008-06-01,4.8093
2008-07-01,4.8145
2008-08-01,4.496
2008-09-01,4.5043
2008-10-01,4.4158
2008-11-01,4.1964
2008-12-01,3.8881
2009-01-01,4.1037
2009-02-01,4.1962
2009-03-01,4.142
2009-04-01,4.0879
2009-05-01,4.134
2009-06-01,4.3237
2009-07-01,4.0889
2009-08-01,3.89
2009-09-01,3.8669
2009-10-01,3.8036
2009-11-01,3.8368
2009-12-01,3.8718
2010-01-01,4.1012
2010-02-01,4.1068
2010-03-01,3.9852
2010-04-01,4.1533
2010-05-01,3.6821
2010-06-01,3.6894
2010-07-01,3.6136
2010-08-01,3.437
2010-09-01,3.4933
2010-10-01,3.3306
2010-11-01,3.7209
2010-12-01,4.0696
2011-01-01,3.9391
2011-02-01,4.4787
2011-03-01,4.4907
2011-04-01,4.6606
2011-05-01,4.3691
2011-06-01,4.3783
2011-07-01,4.6034
2011-08-01,4.2081
2011-09-01,4.038
2011-10-01,4.0786
2011-11-01,4.3943
2011-12-01,4.0932
2012-01-01,3.906
2012-02-01,3.7461
2012-03-01,3.2821
2012-04-01,3.3809
2012-05-01,3.527
2012-06-01,3.4056
2012-07-01,3.2481
2012-08-01,3.0094
2012-09-01,2.4178
2012-10-01,2.3055
2012-11-01,2.2467
2012-12-01,2.099
2013-01-01,2.393
2013-02-01,2.8582
2013-03-01,3.0276
2013-04-01,2.8551
2013-05-01,2.6855
2013-06-01,3.0709
2013-07-01,3.1011
2013-08-01,3.0967
2013-09-01,3.407
2013-10-01,3.1626
2013-11-01,3.1712
2013-12-01,3.3132
2014-01-01,3.2124
2014-02-01,3.0887
2014-03-01,2.8865
2014-04-01,2.6103
2014-05-01,2.555
2014-06-01,2.2757
2014-07-01,2.1583
2014-08-01,1.9898
